name,prompt,negative_prompt
NAiDefault,"masterpiece, best quality","text, lowres, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad anatomy, bad hands, error, missing fingers, extra digit, fewer digits, missing arms, long neck, Humpbacked"
Counterfeit-V2.5,"((masterpiece,best quality)),1girl","EasyNegative, extra fingers,fewer fingers,"
tomori,"masterpiece,best quality,1girl,<lora:TomoriNao:1>,tomori","easynegative,(worst quality,low quality,normal quality:1.4),lowres,skin spots,acnes,skin blemishes,age spot,glans,extra fingers,fewer fingers,strange fingers,((bad hand)), hand grip,( lean), extra ears,( four ears),strange eyes,(three arms),many hands,(many arms),((watermarking))"
dalcefo,"<(realistic:1.4),(extremely intricate:1.2)>,1girl","(worst quality, low quality:1.4), (depth of field, blurry:1.2), (greyscale, monochrome:1.1), 3D face, cropped, lowres, text, jpeg artifacts, signature, watermark, username,blurry,artist name,trademark,watermark,title,multiple view,Reference sheet,curvy,plump,fat,muscular female,strabismus,clothing cutout,side slit,(nsfw:1.3),"
SuikaMix,"asterpiece,best quality,1girl,Latent(nearest-exact), by 2, 25 stpes, 0.6 strength,","(easynegative),(ng_deepnegative_v1_75t),(worst quality, low quality:1.4),((watermark:1.4)),((signature:1.4))"
haidilao,"white background,1girl,fluttering petals,(depth of field, blurry, blurry background, bokeh:1.2),","EasyNegative,bad hand,(worst quality,low quality:1.4),lowres,normal quality,ugly,bad anatomy,cropped,longbody,bad hands,missing fingers,uncoordinated face,unnatural face,uncoordinated eyes,unnatural eyes,uncoordinated body,unnatural body,bad hair,long neck,lots of hands, signature,watermark,username,text,jpeg artifacts,error,artist name,trademark,title,extra digit,fewer digits,duplicate, multiple view,reference sheet,(greyscale,monochrome:1.1),(depth of field,blurry:1.2),"
MerongstelMix,"masterpiece,best quality,1girl,","(low quality, worst quality:1.4),animated,translated,extra fingers,mutation,bad anatomy,missing arm,lowres,bad anatomy,bad hands,text,error, extra digit, fewer digits, signature, short hair, watermark, username, jpeg artifacts, blurry, large areolae, areolae, long nipples, puffy nipples, huge breasts, dark nipples, dark areolae, furry, sagging breasts, perky breasts, (thick thighs), thick arm, disembodied limb, multiple legs, tail between legs, arthropod girl, arachne, spider girl, monster girl, centaur, silk, extra eyes, interlocked fingers, multiple views, bad multiple views, bad proportions, bad perspective, one-hour drawing challenge, big hand, fat, big belly, plump, inflation, pregnant, parody, head wings, bird girl, flat chest, multiple tails, animal, long tongue, curvy, 5koma, 3d, traditional media, no humans, male focus, yaoi, pectorals, muscular male, otoko no ko, bara, muscular, abs, mature male, mask, sunglasses, long upper body, long waist, long torso, long legs, extra breasts, cow girl, multiple heads, transformation, centipede, centipede girl, arthropod limbs, glasses, muscular female, multiple breasts,"
MeinaHentai,"photorealistic, (hyperrealistic:1.2),masterpiece,best quality,1girl,","(worst quality, low quality:1.4),monochrome, zombie,extra limbs,"
MeinaPastel,"(masterpiece:1.2,best quality),1girl,colorful,high contrast,","(worst quality, low quality:1.4),monochrome,zombie"
脸部增强,"delicate, beautiful, beautiful face, beautiful eyes, beautiful girl, delicate face, delicate girl,",
画面增强,"high resolution illustration, colorful, 8k wallpaper, highres",
光线增强,"Cinematic light, ray tracing",
细节增强,"hyper detailed,ultra-detailed",
负面扩展,,"artist name, twisted torso, (((fusion), extra, bad, fewer, missing), fist,clenched hand)"
超高细节,"8k wallpaper,(best quality:1.12),(detailed:1.12),(intricate:1.12),(ultra-detailed:1.12),(highres:1.12)",
